Pianta;Trattamento;Vive
a;CON;14
a;CON;9
a;CON;75
a;CON;3
a;CRY;30
a;CRY;12
a;CRY;16
a;CRY;26
a;EXO;39
a;EXO;19
a;EXO;37
a;EXO;8
b;CON;71
b;CON;55
b;CON;30
b;CON;30
b;CRY;24
b;CRY;34
b;CRY;38
b;CRY;15
b;EXO;43
b;EXO;0
b;EXO;56
b;EXO;116
c;CON;34
c;CON;14
c;CON;72
c;CON;54
c;CRY;85
c;CRY;58
c;CRY;89
c;CRY;4
c;EXO;70
c;EXO;0
c;EXO;3
c;EXO;40
d;CON;102
d;CON;38
d;CON;104
d;CON;60
d;CRY;13
d;CRY;0
d;CRY;17
d;CRY;103
d;EXO;0
d;EXO;24
d;EXO;64
d;EXO;18
e;CON;96
e;CON;49
e;CON;3
e;CON;20
e;CRY;1
e;CRY;76
e;CRY;4
e;CRY;6
e;EXO;25
e;EXO;80
e;EXO;32
e;EXO;76
f;CON;21
f;CON;25
f;CON;6
f;CON;15
f;CRY;26
f;CRY;26
f;CRY;53
f;CRY;3
f;EXO;1
f;EXO;0
f;EXO;0
f;EXO;3
g;CON;70
g;CON;113
g;CON;63
g;CON;66
g;CRY;10
g;CRY;7
g;CRY;0
g;CRY;30
g;EXO;130
g;EXO;125
g;EXO;3
g;EXO;37
h;CON;0
h;CON;53
h;CON;36
h;CON;3
h;CRY;3
h;CRY;11
h;CRY;14
h;CRY;78
h;EXO;76
h;EXO;92
h;EXO;45
h;EXO;20
i;CON;110
i;CON;58
i;CON;53
i;CON;60
i;CRY;32
i;CRY;40
i;CRY;62
i;CRY;77
i;EXO;115
i;EXO;71
i;EXO;14
i;EXO;29
l;CON;61
l;CON;66
l;CON;6
l;CON;59
l;CRY;14
l;CRY;30
l;CRY;1
l;CRY;13
l;EXO;12
l;EXO;25
l;EXO;56
l;EXO;43
m;CON;88
m;CON;45
m;CON;83
m;CON;97
m;CRY;22
m;CRY;23
m;CRY;59
m;CRY;60
m;EXO;85
m;EXO;38
m;EXO;1
m;EXO;0
n;CON;103
n;CON;71
n;CON;58
n;CON;137
n;CRY;62
n;CRY;45
n;CRY;63
n;CRY;42
n;EXO;9
n;EXO;13
n;EXO;67
n;EXO;72
o;CON;61
o;CON;55
o;CON;37
o;CON;48
o;CRY;95
o;CRY;0
o;CRY;100
o;CRY;92
o;EXO;64
o;EXO;55
o;EXO;2
o;EXO;46
p;CON;37
p;CON;68
p;CON;87
p;CON;91
p;CRY;10
p;CRY;16
p;CRY;18
p;CRY;53
p;EXO;12
p;EXO;107
p;EXO;59
p;EXO;57
